Forward Financial Framework Kaiserslatuarn+ Model Experiments Results,
GPU,ee-snowball1,
Type,Stepping,Simulation Paths,Accuracy,Latency,
Projection,linear,27400000,0.021763,950152572.717368,
Projection,linear,27500000,0.021723,953612294.439632,
Projection,linear,27600000,0.021684,957072016.161895,
Projection,linear,27700000,0.021644,960531737.884158,
Projection,linear,27800000,0.021605,963991459.606422,
Projection,linear,27900000,0.021566,967451181.328685,
Projection,linear,28000000,0.021527,970910903.050948,
Projection,linear,28100000,0.021489,974370624.773212,
Projection,linear,28200000,0.021451,977830346.495475,
Projection,linear,28300000,0.021413,981290068.217738,
Projection,linear,28400000,0.021375,984749789.940002,
Projection,linear,28500000,0.021337,988209511.662265,
Projection,linear,28600000,0.021300,991669233.384528,
Projection,linear,28700000,0.021262,995128955.106792,
Projection,linear,28800000,0.021225,998588676.829055,
Projection,linear,28900000,0.021188,1002048398.551319,
Projection,linear,29000000,0.021151,1005508120.273582,
Projection,linear,29100000,0.021115,1008967841.995845,
Projection,linear,29200000,0.021079,1012427563.718108,
Projection,linear,29300000,0.021042,1015887285.440372,
Projection,linear,29400000,0.021007,1019347007.162635,
Projection,linear,29500000,0.020971,1022806728.884899,
Projection,linear,29600000,0.020935,1026266450.607162,
Projection,linear,29700000,0.020900,1029726172.329425,
Projection,linear,29800000,0.020864,1033185894.051689,
Projection,linear,29900000,0.020829,1036645615.773952,
Projection,linear,30000000,0.020794,1040105337.496215,
Projection,linear,30100000,0.020760,1043565059.218479,
Projection,linear,30200000,0.020725,1047024780.940742,
Projection,linear,30300000,0.020691,1050484502.663005,
Projection,linear,30400000,0.020657,1053944224.385269,
Projection,linear,30500000,0.020623,1057403946.107532,
Projection,linear,30600000,0.020589,1060863667.829795,
Projection,linear,30700000,0.020555,1064323389.552059,
Projection,linear,30800000,0.020521,1067783111.274322,
Projection,linear,30900000,0.020488,1071242832.996585,
Projection,linear,31000000,0.020455,1074702554.718849,
Projection,linear,31100000,0.020422,1078162276.441112,
Projection,linear,31200000,0.020389,1081621998.163375,
Projection,linear,31300000,0.020356,1085081719.885639,
Projection,linear,31400000,0.020324,1088541441.607902,
Projection,linear,31500000,0.020291,1092001163.330166,
Projection,linear,31600000,0.020259,1095460885.052429,
Projection,linear,31700000,0.020227,1098920606.774692,
Projection,linear,31800000,0.020195,1102380328.496956,
Projection,linear,31900000,0.020163,1105840050.219219,
Projection,linear,32000000,0.020131,1109299771.941482,
Projection,linear,32100000,0.020100,1112759493.663746,
Projection,linear,32200000,0.020068,1116219215.386009,
Projection,linear,32300000,0.020037,1119678937.108272,
Projection,linear,32400000,0.020006,1123138658.830536,
Projection,linear,32500000,0.019975,1126598380.552799,
Projection,linear,32600000,0.019944,1130058102.275062,
Projection,linear,32700000,0.019914,1133517823.997326,
Projection,linear,32800000,0.019883,1136977545.719589,
Projection,linear,32900000,0.019853,1140437267.441853,
Projection,linear,33000000,0.019823,1143896989.164116,
Projection,linear,33100000,0.019792,1147356710.886379,
Projection,linear,33200000,0.019762,1150816432.608643,
Projection,linear,33300000,0.019733,1154276154.330906,
Projection,linear,33400000,0.019703,1157735876.053169,
Projection,linear,33500000,0.019673,1161195597.775432,
Projection,linear,33600000,0.019644,1164655319.497696,
Projection,linear,33700000,0.019615,1168115041.219959,
Projection,linear,33800000,0.019585,1171574762.942223,
Projection,linear,33900000,0.019556,1175034484.664486,
Projection,linear,34000000,0.019528,1178494206.386749,
Projection,linear,34100000,0.019499,1181953928.109013,
Projection,linear,34200000,0.019470,1185413649.831276,
Projection,linear,34300000,0.019442,1188873371.553539,
Projection,linear,34400000,0.019413,1192333093.275803,
Projection,linear,34500000,0.019385,1195792814.998066,
Projection,linear,34600000,0.019357,1199252536.720330,
Projection,linear,34700000,0.019329,1202712258.442593,
Projection,linear,34800000,0.019301,1206171980.164856,
Projection,linear,34900000,0.019273,1209631701.887119,
Projection,linear,35000000,0.019245,1213091423.609383,
Projection,linear,35100000,0.019218,1216551145.331646,
Projection,linear,35200000,0.019190,1220010867.053910,
Projection,linear,35300000,0.019163,1223470588.776173,
Projection,linear,35400000,0.019136,1226930310.498436,
Projection,linear,35500000,0.019109,1230390032.220700,
Projection,linear,35600000,0.019082,1233849753.942963,
Projection,linear,35700000,0.019055,1237309475.665226,
Projection,linear,35800000,0.019028,1240769197.387490,
Projection,linear,35900000,0.019001,1244228919.109753,
Projection,linear,36000000,0.018975,1247688640.832016,
Projection,linear,36100000,0.018948,1251148362.554280,
Projection,linear,36200000,0.018922,1254608084.276543,
Projection,linear,36300000,0.018896,1258067805.998806,
Projection,linear,36400000,0.018870,1261527527.721070,
Projection,linear,36500000,0.018844,1264987249.443333,
Projection,linear,36600000,0.018818,1268446971.165596,
Projection,linear,36700000,0.018792,1271906692.887860,
Projection,linear,36800000,0.018766,1275366414.610123,
Projection,linear,36900000,0.018741,1278826136.332386,
Projection,linear,37000000,0.018715,1282285858.054650,
Projection,linear,37100000,0.018690,1285745579.776913,
Projection,linear,37200000,0.018665,1289205301.499177,
Projection,linear,37300000,0.018640,1292665023.221440,
Projection,linear,37400000,0.018615,1296124744.943703,
Projection,linear,37500000,0.018590,1299584466.665966,
Projection,linear,37600000,0.018565,1303044188.388230,
Projection,linear,37700000,0.018540,1306503910.110493,
Projection,linear,37800000,0.018515,1309963631.832757,
Projection,linear,37900000,0.018491,1313423353.555020,
Projection,linear,38000000,0.018466,1316883075.277283,
Projection,linear,38100000,0.018442,1320342796.999547,
Projection,linear,38200000,0.018418,1323802518.721810,
Projection,linear,38300000,0.018393,1327262240.444073,
Projection,linear,38400000,0.018369,1330721962.166337,
Projection,linear,38500000,0.018345,1334181683.888600,
Projection,linear,38600000,0.018322,1337641405.610863,
Projection,linear,38700000,0.018298,1341101127.333127,
Projection,linear,38800000,0.018274,1344560849.055390,
Projection,linear,38900000,0.018250,1348020570.777653,
Projection,linear,39000000,0.018227,1351480292.499917,
Projection,linear,39100000,0.018203,1354940014.222180,
Projection,linear,39200000,0.018180,1358399735.944443,
Projection,linear,39300000,0.018157,1361859457.666707,
Projection,linear,39400000,0.018134,1365319179.388970,
Projection,linear,39500000,0.018111,1368778901.111233,
Projection,linear,39600000,0.018088,1372238622.833497,
Projection,linear,39700000,0.018065,1375698344.555760,
Projection,linear,39800000,0.018042,1379158066.278024,
Projection,linear,39900000,0.018019,1382617788.000287,
Projection,linear,40000000,0.017996,1386077509.722550,
Projection,linear,40100000,0.017974,1389537231.444813,
Projection,linear,40200000,0.017951,1392996953.167077,
Projection,linear,40300000,0.017929,1396456674.889340,
Projection,linear,40400000,0.017907,1399916396.611604,
Projection,linear,40500000,0.017884,1403376118.333867,
Projection,linear,40600000,0.017862,1406835840.056130,
Projection,linear,40700000,0.017840,1410295561.778394,
Projection,linear,40800000,0.017818,1413755283.500657,
Projection,linear,40900000,0.017796,1417215005.222920,
Projection,linear,41000000,0.017774,1420674726.945184,
Projection,linear,41100000,0.017753,1424134448.667447,
Projection,linear,41200000,0.017731,1427594170.389711,
Projection,linear,41300000,0.017709,1431053892.111974,
Projection,linear,41400000,0.017688,1434513613.834237,
Projection,linear,41500000,0.017667,1437973335.556500,
Projection,linear,41600000,0.017645,1441433057.278764,
Projection,linear,41700000,0.017624,1444892779.001027,
Projection,linear,41800000,0.017603,1448352500.723291,
Projection,linear,41900000,0.017582,1451812222.445554,
Projection,linear,42000000,0.017561,1455271944.167817,
Projection,linear,42100000,0.017540,1458731665.890081,
Projection,linear,42200000,0.017519,1462191387.612344,
Projection,linear,42300000,0.017498,1465651109.334607,
Projection,linear,42400000,0.017477,1469110831.056870,
Projection,linear,42500000,0.017456,1472570552.779134,
Projection,linear,42600000,0.017436,1476030274.501397,
Projection,linear,42700000,0.017415,1479489996.223661,
Projection,linear,42800000,0.017395,1482949717.945924,
Projection,linear,42900000,0.017374,1486409439.668187,
Projection,linear,43000000,0.017354,1489869161.390451,
Projection,linear,43100000,0.017334,1493328883.112714,
Projection,linear,43200000,0.017314,1496788604.834977,
Projection,linear,43300000,0.017294,1500248326.557241,
Projection,linear,43400000,0.017273,1503708048.279504,
Projection,linear,43500000,0.017254,1507167770.001768,
Projection,linear,43600000,0.017234,1510627491.724031,
Projection,linear,43700000,0.017214,1514087213.446294,
Projection,linear,43800000,0.017194,1517546935.168557,
Projection,linear,43900000,0.017174,1521006656.890821,
Projection,linear,44000000,0.017155,1524466378.613084,
Projection,linear,44100000,0.017135,1527926100.335348,
Projection,linear,44200000,0.017116,1531385822.057611,
Projection,linear,44300000,0.017096,1534845543.779874,
Projection,linear,44400000,0.017077,1538305265.502138,
Projection,linear,44500000,0.017058,1541764987.224401,
Projection,linear,44600000,0.017038,1545224708.946664,
Projection,linear,44700000,0.017019,1548684430.668928,
Projection,linear,44800000,0.017000,1552144152.391191,
Projection,linear,44900000,0.016981,1555603874.113454,
Projection,linear,45000000,0.016962,1559063595.835718,
Projection,linear,45100000,0.016943,1562523317.557981,
Projection,linear,45200000,0.016924,1565983039.280245,
Projection,linear,45300000,0.016905,1569442761.002507,
Projection,linear,45400000,0.016887,1572902482.724771,
Projection,linear,45500000,0.016868,1576362204.447034,
Projection,linear,45600000,0.016849,1579821926.169298,
Projection,linear,45700000,0.016831,1583281647.891561,
Projection,linear,45800000,0.016812,1586741369.613825,
Projection,linear,45900000,0.016794,1590201091.336088,
Projection,linear,46000000,0.016776,1593660813.058351,
Projection,linear,46100000,0.016757,1597120534.780615,
Projection,linear,46200000,0.016739,1600580256.502878,
Projection,linear,46300000,0.016721,1604039978.225142,
Projection,linear,46400000,0.016703,1607499699.947405,
Projection,linear,46500000,0.016685,1610959421.669668,
Projection,linear,46600000,0.016667,1614419143.391931,
Projection,linear,46700000,0.016649,1617878865.114195,
Projection,linear,46800000,0.016631,1621338586.836458,
Projection,linear,46900000,0.016613,1624798308.558721,
Projection,linear,47000000,0.016595,1628258030.280985,
Projection,linear,47100000,0.016577,1631717752.003248,
