Forward Financial Framework Kaiserslatuarn+ Model Experiments Results,
CPU,ee-benjamin.ee.ic.ac.uk,
Type,Stepping,Simulation Paths,Accuracy,Latency,
Projection,linear,26000000,0.043184,2075918343.046475,
Projection,linear,26100000,0.043106,2083888381.923275,
Projection,linear,26200000,0.043028,2091858420.800075,
Projection,linear,26300000,0.042951,2099828459.676875,
Projection,linear,26400000,0.042874,2107798498.553675,
Projection,linear,26500000,0.042798,2115768537.430475,
Projection,linear,26600000,0.042722,2123738576.307275,
Projection,linear,26700000,0.042646,2131708615.184075,
Projection,linear,26800000,0.042571,2139678654.060875,
Projection,linear,26900000,0.042496,2147648692.937675,
Projection,linear,27000000,0.042422,2155618731.814476,
Projection,linear,27100000,0.042348,2163588770.691275,
Projection,linear,27200000,0.042275,2171558809.568076,
Projection,linear,27300000,0.042202,2179528848.444875,
Projection,linear,27400000,0.042129,2187498887.321675,
Projection,linear,27500000,0.042057,2195468926.198476,
Projection,linear,27600000,0.041985,2203438965.075275,
Projection,linear,27700000,0.041914,2211409003.952075,
Projection,linear,27800000,0.041843,2219379042.828876,
Projection,linear,27900000,0.041772,2227349081.705676,
Projection,linear,28000000,0.041702,2235319120.582476,
Projection,linear,28100000,0.041632,2243289159.459276,
Projection,linear,28200000,0.041562,2251259198.336076,
Projection,linear,28300000,0.041493,2259229237.212876,
Projection,linear,28400000,0.041424,2267199276.089676,
Projection,linear,28500000,0.041356,2275169314.966476,
Projection,linear,28600000,0.041287,2283139353.843276,
Projection,linear,28700000,0.041220,2291109392.720076,
Projection,linear,28800000,0.041152,2299079431.596876,
Projection,linear,28900000,0.041085,2307049470.473676,
Projection,linear,29000000,0.041019,2315019509.350476,
Projection,linear,29100000,0.040952,2322989548.227276,
Projection,linear,29200000,0.040886,2330959587.104076,
Projection,linear,29300000,0.040820,2338929625.980876,
Projection,linear,29400000,0.040755,2346899664.857676,
Projection,linear,29500000,0.040690,2354869703.734476,
Projection,linear,29600000,0.040625,2362839742.611277,
Projection,linear,29700000,0.040561,2370809781.488076,
Projection,linear,29800000,0.040497,2378779820.364876,
Projection,linear,29900000,0.040433,2386749859.241676,
Projection,linear,30000000,0.040370,2394719898.118476,
Projection,linear,30100000,0.040307,2402689936.995276,
Projection,linear,30200000,0.040244,2410659975.872077,
Projection,linear,30300000,0.040182,2418630014.748877,
Projection,linear,30400000,0.040119,2426600053.625677,
Projection,linear,30500000,0.040058,2434570092.502477,
Projection,linear,30600000,0.039996,2442540131.379276,
Projection,linear,30700000,0.039935,2450510170.256077,
Projection,linear,30800000,0.039874,2458480209.132877,
Projection,linear,30900000,0.039813,2466450248.009676,
Projection,linear,31000000,0.039753,2474420286.886477,
Projection,linear,31100000,0.039693,2482390325.763277,
Projection,linear,31200000,0.039633,2490360364.640077,
Projection,linear,31300000,0.039573,2498330403.516877,
Projection,linear,31400000,0.039514,2506300442.393677,
Projection,linear,31500000,0.039455,2514270481.270477,
Projection,linear,31600000,0.039397,2522240520.147277,
Projection,linear,31700000,0.039338,2530210559.024077,
Projection,linear,31800000,0.039280,2538180597.900877,
Projection,linear,31900000,0.039222,2546150636.777678,
Projection,linear,32000000,0.039165,2554120675.654477,
Projection,linear,32100000,0.039108,2562090714.531278,
Projection,linear,32200000,0.039051,2570060753.408078,
Projection,linear,32300000,0.038994,2578030792.284878,
Projection,linear,32400000,0.038937,2586000831.161677,
Projection,linear,32500000,0.038881,2593970870.038477,
Projection,linear,32600000,0.038825,2601940908.915277,
Projection,linear,32700000,0.038769,2609910947.792078,
Projection,linear,32800000,0.038714,2617880986.668878,
Projection,linear,32900000,0.038659,2625851025.545678,
Projection,linear,33000000,0.038604,2633821064.422478,
Projection,linear,33100000,0.038549,2641791103.299278,
Projection,linear,33200000,0.038495,2649761142.176078,
Projection,linear,33300000,0.038440,2657731181.052878,
Projection,linear,33400000,0.038386,2665701219.929678,
Projection,linear,33500000,0.038333,2673671258.806478,
Projection,linear,33600000,0.038279,2681641297.683278,
Projection,linear,33700000,0.038226,2689611336.560078,
Projection,linear,33800000,0.038173,2697581375.436878,
Projection,linear,33900000,0.038120,2705551414.313679,
Projection,linear,34000000,0.038067,2713521453.190478,
Projection,linear,34100000,0.038015,2721491492.067278,
Projection,linear,34200000,0.037963,2729461530.944078,
Projection,linear,34300000,0.037911,2737431569.820878,
Projection,linear,34400000,0.037860,2745401608.697679,
Projection,linear,34500000,0.037808,2753371647.574478,
Projection,linear,34600000,0.037757,2761341686.451278,
Projection,linear,34700000,0.037706,2769311725.328078,
Projection,linear,34800000,0.037655,2777281764.204878,
Projection,linear,34900000,0.037605,2785251803.081678,
Projection,linear,35000000,0.037554,2793221841.958479,
Projection,linear,35100000,0.037504,2801191880.835278,
Projection,linear,35200000,0.037454,2809161919.712079,
Projection,linear,35300000,0.037405,2817131958.588879,
Projection,linear,35400000,0.037355,2825101997.465679,
Projection,linear,35500000,0.037306,2833072036.342479,
Projection,linear,35600000,0.037257,2841042075.219279,
Projection,linear,35700000,0.037208,2849012114.096078,
Projection,linear,35800000,0.037159,2856982152.972878,
Projection,linear,35900000,0.037111,2864952191.849679,
Projection,linear,36000000,0.037063,2872922230.726479,
Projection,linear,36100000,0.037015,2880892269.603279,
Projection,linear,36200000,0.036967,2888862308.480079,
Projection,linear,36300000,0.036919,2896832347.356879,
Projection,linear,36400000,0.036872,2904802386.233679,
Projection,linear,36500000,0.036824,2912772425.110479,
Projection,linear,36600000,0.036777,2920742463.987279,
Projection,linear,36700000,0.036730,2928712502.864079,
Projection,linear,36800000,0.036684,2936682541.740879,
Projection,linear,36900000,0.036637,2944652580.617679,
Projection,linear,37000000,0.036591,2952622619.494480,
Projection,linear,37100000,0.036545,2960592658.371279,
Projection,linear,37200000,0.036499,2968562697.248079,
Projection,linear,37300000,0.036453,2976532736.124879,
Projection,linear,37400000,0.036408,2984502775.001679,
Projection,linear,37500000,0.036362,2992472813.878479,
Projection,linear,37600000,0.036317,3000442852.755280,
Projection,linear,37700000,0.036272,3008412891.632079,
Projection,linear,37800000,0.036227,3016382930.508880,
Projection,linear,37900000,0.036183,3024352969.385679,
Projection,linear,38000000,0.036138,3032323008.262480,
Projection,linear,38100000,0.036094,3040293047.139280,
Projection,linear,38200000,0.036050,3048263086.016079,
Projection,linear,38300000,0.036006,3056233124.892879,
Projection,linear,38400000,0.035962,3064203163.769680,
Projection,linear,38500000,0.035918,3072173202.646480,
Projection,linear,38600000,0.035875,3080143241.523280,
Projection,linear,38700000,0.035832,3088113280.400080,
Projection,linear,38800000,0.035788,3096083319.276880,
Projection,linear,38900000,0.035745,3104053358.153680,
Projection,linear,39000000,0.035703,3112023397.030480,
Projection,linear,39100000,0.035660,3119993435.907280,
Projection,linear,39200000,0.035618,3127963474.784081,
Projection,linear,39300000,0.035575,3135933513.660880,
Projection,linear,39400000,0.035533,3143903552.537680,
Projection,linear,39500000,0.035491,3151873591.414480,
Projection,linear,39600000,0.035449,3159843630.291280,
Projection,linear,39700000,0.035408,3167813669.168080,
Projection,linear,39800000,0.035366,3175783708.044880,
Projection,linear,39900000,0.035325,3183753746.921680,
Projection,linear,40000000,0.035284,3191723785.798480,
Projection,linear,40100000,0.035243,3199693824.675281,
Projection,linear,40200000,0.035202,3207663863.552080,
Projection,linear,40300000,0.035161,3215633902.428880,
Projection,linear,40400000,0.035120,3223603941.305680,
Projection,linear,40500000,0.035080,3231573980.182480,
Projection,linear,40600000,0.035040,3239544019.059280,
Projection,linear,40700000,0.035000,3247514057.936081,
Projection,linear,40800000,0.034960,3255484096.812881,
Projection,linear,40900000,0.034920,3263454135.689681,
Projection,linear,41000000,0.034880,3271424174.566480,
Projection,linear,41100000,0.034840,3279394213.443281,
Projection,linear,41200000,0.034801,3287364252.320081,
Projection,linear,41300000,0.034762,3295334291.196881,
Projection,linear,41400000,0.034723,3303304330.073680,
Projection,linear,41500000,0.034684,3311274368.950481,
Projection,linear,41600000,0.034645,3319244407.827281,
Projection,linear,41700000,0.034606,3327214446.704081,
Projection,linear,41800000,0.034568,3335184485.580881,
Projection,linear,41900000,0.034529,3343154524.457681,
Projection,linear,42000000,0.034491,3351124563.334481,
Projection,linear,42100000,0.034453,3359094602.211281,
Projection,linear,42200000,0.034415,3367064641.088081,
Projection,linear,42300000,0.034377,3375034679.964882,
Projection,linear,42400000,0.034339,3383004718.841681,
Projection,linear,42500000,0.034301,3390974757.718481,
Projection,linear,42600000,0.034264,3398944796.595281,
Projection,linear,42700000,0.034227,3406914835.472081,
Projection,linear,42800000,0.034189,3414884874.348882,
Projection,linear,42900000,0.034152,3422854913.225682,
Projection,linear,43000000,0.034115,3430824952.102481,
Projection,linear,43100000,0.034078,3438794990.979282,
Projection,linear,43200000,0.034042,3446765029.856081,
Projection,linear,43300000,0.034005,3454735068.732882,
Projection,linear,43400000,0.033969,3462705107.609682,
Projection,linear,43500000,0.033932,3470675146.486482,
Projection,linear,43600000,0.033896,3478645185.363282,
Projection,linear,43700000,0.033860,3486615224.240082,
Projection,linear,43800000,0.033824,3494585263.116882,
Projection,linear,43900000,0.033788,3502555301.993682,
Projection,linear,44000000,0.033753,3510525340.870481,
Projection,linear,44100000,0.033717,3518495379.747282,
Projection,linear,44200000,0.033682,3526465418.624082,
Projection,linear,44300000,0.033646,3534435457.500882,
Projection,linear,44400000,0.033611,3542405496.377683,
Projection,linear,44500000,0.033576,3550375535.254482,
Projection,linear,44600000,0.033541,3558345574.131282,
Projection,linear,44700000,0.033506,3566315613.008082,
Projection,linear,44800000,0.033471,3574285651.884882,
Projection,linear,44900000,0.033437,3582255690.761683,
Projection,linear,45000000,0.033402,3590225729.638483,
Projection,linear,45100000,0.033368,3598195768.515282,
Projection,linear,45200000,0.033333,3606165807.392082,
Projection,linear,45300000,0.033299,3614135846.268882,
Projection,linear,45400000,0.033265,3622105885.145683,
Projection,linear,45500000,0.033231,3630075924.022482,
Projection,linear,45600000,0.033197,3638045962.899283,
Projection,linear,45700000,0.033164,3646016001.776083,
Projection,linear,45800000,0.033130,3653986040.652883,
Projection,linear,45900000,0.033096,3661956079.529683,
Projection,linear,46000000,0.033063,3669926118.406482,
Projection,linear,46100000,0.033030,3677896157.283283,
Projection,linear,46200000,0.032997,3685866196.160083,
Projection,linear,46300000,0.032963,3693836235.036882,
Projection,linear,46400000,0.032930,3701806273.913683,
Projection,linear,46500000,0.032898,3709776312.790483,
Projection,linear,46600000,0.032865,3717746351.667283,
Projection,linear,46700000,0.032832,3725716390.544083,
Projection,linear,46800000,0.032800,3733686429.420883,
Projection,linear,46900000,0.032767,3741656468.297683,
Projection,linear,47000000,0.032735,3749626507.174483,
Projection,linear,47100000,0.032703,3757596546.051283,
Projection,linear,47200000,0.032670,3765566584.928083,
Projection,linear,47300000,0.032638,3773536623.804883,
Projection,linear,47400000,0.032606,3781506662.681684,
Projection,linear,47500000,0.032575,3789476701.558484,
Projection,linear,47600000,0.032543,3797446740.435284,
Projection,linear,47700000,0.032511,3805416779.312083,
Projection,linear,47800000,0.032480,3813386818.188883,
Projection,linear,47900000,0.032448,3821356857.065683,
Projection,linear,48000000,0.032417,3829326895.942484,
Projection,linear,48100000,0.032386,3837296934.819283,
Projection,linear,48200000,0.032354,3845266973.696084,
Projection,linear,48300000,0.032323,3853237012.572883,
Projection,linear,48400000,0.032292,3861207051.449683,
Projection,linear,48500000,0.032262,3869177090.326484,
Projection,linear,48600000,0.032231,3877147129.203284,
Projection,linear,48700000,0.032200,3885117168.080084,
Projection,linear,48800000,0.032170,3893087206.956883,
Projection,linear,48900000,0.032139,3901057245.833684,
Projection,linear,49000000,0.032109,3909027284.710484,
Projection,linear,49100000,0.032078,3916997323.587285,
Projection,linear,49200000,0.032048,3924967362.464085,
Projection,linear,49300000,0.032018,3932937401.340884,
Projection,linear,49400000,0.031988,3940907440.217684,
Projection,linear,49500000,0.031958,3948877479.094484,
Projection,linear,49600000,0.031928,3956847517.971283,
Projection,linear,49700000,0.031899,3964817556.848084,
Projection,linear,49800000,0.031869,3972787595.724884,
Projection,linear,49900000,0.031839,3980757634.601684,
Projection,linear,50000000,0.031810,3988727673.478484,
Projection,linear,50100000,0.031780,3996697712.355284,
Projection,linear,50200000,0.031751,4004667751.232084,
Projection,linear,50300000,0.031722,4012637790.108884,
Projection,linear,50400000,0.031693,4020607828.985684,
Projection,linear,50500000,0.031664,4028577867.862485,
Projection,linear,50600000,0.031635,4036547906.739285,
Projection,linear,50700000,0.031606,4044517945.616085,
Projection,linear,50800000,0.031577,4052487984.492885,
Projection,linear,50900000,0.031548,4060458023.369684,
Projection,linear,51000000,0.031520,4068428062.246484,
Projection,linear,51100000,0.031491,4076398101.123285,
Projection,linear,51200000,0.031463,4084368140.000085,
Projection,linear,51300000,0.031434,4092338178.876885,
Projection,linear,51400000,0.031406,4100308217.753684,
Projection,linear,51500000,0.031378,4108278256.630485,
Projection,linear,51600000,0.031350,4116248295.507285,
Projection,linear,51700000,0.031322,4124218334.384085,
Projection,linear,51800000,0.031294,4132188373.260885,
Projection,linear,51900000,0.031266,4140158412.137685,
Projection,linear,52000000,0.031238,4148128451.014485,
Projection,linear,52100000,0.031210,4156098489.891285,
Projection,linear,52200000,0.031183,4164068528.768085,
Projection,linear,52300000,0.031155,4172038567.644886,
Projection,linear,52400000,0.031128,4180008606.521686,
Projection,linear,52500000,0.031100,4187978645.398486,
Projection,linear,52600000,0.031073,4195948684.275285,
Projection,linear,52700000,0.031046,4203918723.152085,
Projection,linear,52800000,0.031019,4211888762.028885,
Projection,linear,52900000,0.030991,4219858800.905686,
Projection,linear,53000000,0.030964,4227828839.782485,
Projection,linear,53100000,0.030937,4235798878.659286,
Projection,linear,53200000,0.030911,4243768917.536086,
Projection,linear,53300000,0.030884,4251738956.412886,
Projection,linear,53400000,0.030857,4259708995.289685,
Projection,linear,53500000,0.030830,4267679034.166486,
Projection,linear,53600000,0.030804,4275649073.043285,
Projection,linear,53700000,0.030777,4283619111.920086,
Projection,linear,53800000,0.030751,4291589150.796886,
Projection,linear,53900000,0.030725,4299559189.673686,
Projection,linear,54000000,0.030698,4307529228.550486,
Projection,linear,54100000,0.030672,4315499267.427286,
Projection,linear,54200000,0.030646,4323469306.304087,
Projection,linear,54300000,0.030620,4331439345.180886,
Projection,linear,54400000,0.030594,4339409384.057686,
